#截止2023-12-25，中国电信IP地址段共计5872条。电信AS区域
#IP起始	结束	数量	网络
1.48.0.0	1.49.255.255	131072	1.48.0.0/15
1.50.0.0	1.50.255.255	65536	1.50.0.0/16
1.68.0.0	1.71.255.255	262144	1.68.0.0/14
1.80.0.0	1.87.255.255	524288	1.80.0.0/13
1.81.0.0	1.81.7.255	2048	1.81.0.0/21
1.82.0.0	1.82.31.255	8192	1.82.0.0/19
1.82.219.0	1.82.219.255	256	1.82.219.0/24
1.82.232.0	1.82.239.255	2048	1.82.232.0/21
1.82.244.0	1.82.244.255	256	1.82.244.0/24
1.84.128.0	1.84.159.255	8192	1.84.128.0/19
1.180.0.0	1.183.255.255	262144	1.180.0.0/14
1.192.0.0	1.199.255.255	524288	1.192.0.0/13
1.203.94.0	1.203.94.255	256	1.203.94.0/24
1.203.95.0	1.203.95.255	256	1.203.95.0/24
1.203.115.0	1.203.115.255	256	1.203.115.0/24
1.203.124.0	1.203.127.255	1024	1.203.124.0/22
1.204.0.0	1.207.255.255	262144	1.204.0.0/14
5.10.136.0	5.10.136.255	256	5.10.136.0/24
5.10.137.0	5.10.137.255	256	5.10.137.0/24
5.10.138.0	5.10.138.255	256	5.10.138.0/24
5.10.139.0	5.10.139.255	256	5.10.139.0/24
5.10.140.0	5.10.140.255	256	5.10.140.0/24
5.10.142.0	5.10.142.255	256	5.10.142.0/24
5.10.143.0	5.10.143.255	256	5.10.143.0/24
5.154.132.0	5.154.132.255	256	5.154.132.0/24
5.154.133.0	5.154.133.255	256	5.154.133.0/24
5.154.136.0	5.154.136.255	256	5.154.136.0/24
5.154.137.0	5.154.137.255	256	5.154.137.0/24
5.154.138.0	5.154.138.255	256	5.154.138.0/24
5.154.139.0	5.154.139.255	256	5.154.139.0/24
5.154.140.0	5.154.140.255	256	5.154.140.0/24
5.154.141.0	5.154.141.255	256	5.154.141.0/24
5.154.158.0	5.154.158.255	256	5.154.158.0/24
5.154.159.0	5.154.159.255	256	5.154.159.0/24
14.16.0.0	14.31.255.255	1048576	14.16.0.0/12
14.103.0.0	14.103.7.255	2048	14.103.0.0/21
14.103.8.0	14.103.15.255	2048	14.103.8.0/21
14.103.16.0	14.103.23.255	2048	14.103.16.0/21
14.103.24.0	14.103.31.255	2048	14.103.24.0/21
14.103.32.0	14.103.39.255	2048	14.103.32.0/21
14.103.40.0	14.103.47.255	2048	14.103.40.0/21
14.103.48.0	14.103.55.255	2048	14.103.48.0/21
14.103.56.0	14.103.63.255	2048	14.103.56.0/21
14.104.0.0	14.111.255.255	524288	14.104.0.0/13
14.112.0.0	14.127.255.255	1048576	14.112.0.0/12
14.134.0.0	14.135.255.255	131072	14.134.0.0/15
14.144.0.0	14.159.255.255	1048576	14.144.0.0/12
14.208.0.0	14.223.255.255	1048576	14.208.0.0/12
27.0.204.0	27.0.207.255	1024	27.0.204.0/22
27.0.208.0	27.0.215.255	2048	27.0.208.0/21
27.16.0.0	27.31.255.255	1048576	27.16.0.0/12
27.19.220.0	27.19.223.255	1024	27.19.220.0/22
27.19.248.0	27.19.255.255	2048	27.19.248.0/21
27.22.52.0	27.22.55.255	1024	27.22.52.0/22
27.22.56.0	27.22.59.255	1024	27.22.56.0/22
27.54.224.0	27.54.255.255	8192	27.54.224.0/19
27.109.124.0	27.109.127.255	1024	27.109.124.0/22
27.128.0.0	27.129.255.255	131072	27.128.0.0/15
27.148.0.0	27.151.255.255	262144	27.148.0.0/14
27.148.128.0	27.148.143.255	4096	27.148.128.0/20
27.148.144.0	27.148.151.255	2048	27.148.144.0/21
27.148.149.0	27.148.149.255	256	27.148.149.0/24
27.148.152.0	27.148.159.255	2048	27.148.152.0/21
27.148.160.0	27.148.191.255	8192	27.148.160.0/19
27.148.192.0	27.148.195.255	1024	27.148.192.0/22
27.148.196.0	27.148.199.255	1024	27.148.196.0/22
27.148.200.0	27.148.201.255	512	27.148.200.0/23
27.148.202.0	27.148.202.255	256	27.148.202.0/24
27.148.205.0	27.148.205.255	256	27.148.205.0/24
27.148.206.0	27.148.207.255	512	27.148.206.0/23
27.148.208.0	27.148.215.255	2048	27.148.208.0/21
27.148.248.0	27.148.255.255	2048	27.148.248.0/21
27.150.16.0	27.150.31.255	4096	27.150.16.0/20
27.150.20.0	27.150.20.255	256	27.150.20.0/24
27.150.22.0	27.150.22.255	256	27.150.22.0/24
27.150.168.0	27.150.168.255	256	27.150.168.0/24
27.150.168.0	27.150.175.255	2048	27.150.168.0/21
27.150.170.0	27.150.170.255	256	27.150.170.0/24
27.150.172.0	27.150.172.255	256	27.150.172.0/24
27.150.173.0	27.150.173.255	256	27.150.173.0/24
27.150.174.0	27.150.174.255	256	27.150.174.0/24
27.150.175.0	27.150.175.255	256	27.150.175.0/24
27.150.180.0	27.150.183.255	1024	27.150.180.0/22
27.150.182.0	27.150.182.255	256	27.150.182.0/24
27.150.184.0	27.150.187.255	1024	27.150.184.0/22
27.150.188.0	27.150.188.255	256	27.150.188.0/24
27.150.189.0	27.150.189.255	256	27.150.189.0/24
27.150.190.0	27.150.190.255	256	27.150.190.0/24
27.151.0.0	27.151.31.255	8192	27.151.0.0/19
27.151.3.0	27.151.3.255	256	27.151.3.0/24
27.151.4.0	27.151.7.255	1024	27.151.4.0/22
27.151.7.0	27.151.7.255	256	27.151.7.0/24
27.151.8.0	27.151.9.255	512	27.151.8.0/23
27.151.13.0	27.151.13.255	256	27.151.13.0/24
27.152.0.0	27.159.255.255	524288	27.152.0.0/13
27.152.28.0	27.152.29.255	512	27.152.28.0/23
27.152.60.0	27.152.60.255	256	27.152.60.0/24
27.152.180.0	27.152.180.255	256	27.152.180.0/24
27.152.181.0	27.152.181.255	256	27.152.181.0/24
27.152.182.0	27.152.183.255	512	27.152.182.0/23
27.152.184.0	27.152.185.255	512	27.152.184.0/23
27.152.186.0	27.152.187.255	512	27.152.186.0/23
27.152.188.0	27.152.189.255	512	27.152.188.0/23
27.152.190.0	27.152.190.255	256	27.152.190.0/24
27.152.191.0	27.152.191.255	256	27.152.191.0/24
27.155.64.0	27.155.95.255	8192	27.155.64.0/19
27.155.77.0	27.155.77.255	256	27.155.77.0/24
27.155.78.0	27.155.78.255	256	27.155.78.0/24
27.155.78.0	27.155.79.255	512	27.155.78.0/23
27.155.96.0	27.155.103.255	2048	27.155.96.0/21
27.155.97.0	27.155.97.255	256	27.155.97.0/24
27.155.100.0	27.155.100.255	256	27.155.100.0/24
27.155.101.0	27.155.101.255	256	27.155.101.0/24
27.155.103.0	27.155.103.255	256	27.155.103.0/24
27.155.104.0	27.155.111.255	2048	27.155.104.0/21
27.155.112.0	27.155.127.255	4096	27.155.112.0/20
27.156.0.0	27.156.15.255	4096	27.156.0.0/20
27.156.26.0	27.156.27.255	512	27.156.26.0/23
27.156.44.0	27.156.45.255	512	27.156.44.0/23
27.159.64.0	27.159.79.255	4096	27.159.64.0/20
27.159.80.0	27.159.83.255	1024	27.159.80.0/22
27.159.86.0	27.159.87.255	512	27.159.86.0/23
27.159.88.0	27.159.95.255	2048	27.159.88.0/21
27.159.96.0	27.159.103.255	2048	27.159.96.0/21
27.159.120.0	27.159.121.255	512	27.159.120.0/23
27.159.122.0	27.159.123.255	512	27.159.122.0/23
27.159.124.0	27.159.127.255	1024	27.159.124.0/22
27.184.0.0	27.191.255.255	524288	27.184.0.0/13
27.224.0.0	27.227.255.255	262144	27.224.0.0/14
36.1.0.0	36.1.255.255	65536	36.1.0.0/16
36.4.0.0	36.7.255.255	262144	36.4.0.0/14
36.16.0.0	36.31.255.255	1048576	36.16.0.0/12
36.27.208.0	36.27.223.255	4096	36.27.208.0/20
36.40.0.0	36.43.255.255	262144	36.40.0.0/14
36.40.64.0	36.40.71.255	2048	36.40.64.0/21
36.40.64.0	36.40.95.255	8192	36.40.64.0/19
36.40.72.0	36.40.79.255	2048	36.40.72.0/21
36.40.80.0	36.40.87.255	2048	36.40.80.0/21
36.40.88.0	36.40.95.255	2048	36.40.88.0/21
36.41.64.0	36.41.79.255	4096	36.41.64.0/20
36.41.168.0	36.41.175.255	2048	36.41.168.0/21
36.41.184.0	36.41.191.255	2048	36.41.184.0/21
36.42.72.0	36.42.79.255	2048	36.42.72.0/21
36.43.32.0	36.43.32.255	256	36.43.32.0/24
36.43.33.0	36.43.33.255	256	36.43.33.0/24
36.44.0.0	36.45.255.255	131072	36.44.0.0/15
36.46.0.0	36.46.255.255	65536	36.46.0.0/16
36.46.128.0	36.46.159.255	8192	36.46.128.0/19
36.47.0.0	36.47.255.255	65536	36.47.0.0/16
36.48.0.0	36.48.255.255	65536	36.48.0.0/16
36.49.0.0	36.49.255.255	65536	36.49.0.0/16
36.56.0.0	36.59.255.255	262144	36.56.0.0/14
36.60.0.0	36.61.255.255	131072	36.60.0.0/15
36.62.0.0	36.63.255.255	131072	36.62.0.0/15
36.96.0.0	36.96.255.255	65536	36.96.0.0/16
36.97.0.0	36.97.255.255	65536	36.97.0.0/16
36.98.0.0	36.98.255.255	65536	36.98.0.0/16
36.99.0.0	36.99.255.255	65536	36.99.0.0/16
36.100.0.0	36.100.255.255	65536	36.100.0.0/16
36.101.0.0	36.101.255.255	65536	36.101.0.0/16
36.102.0.0	36.102.255.255	65536	36.102.0.0/16
36.103.0.0	36.103.255.255	65536	36.103.0.0/16
36.103.128.0	36.103.159.255	8192	36.103.128.0/19
36.103.152.0	36.103.155.255	1024	36.103.152.0/22
36.103.157.0	36.103.157.255	256	36.103.157.0/24
36.103.158.0	36.103.159.255	512	36.103.158.0/23
36.103.160.0	36.103.160.255	256	36.103.160.0/24
36.103.160.0	36.103.175.255	4096	36.103.160.0/20
36.103.161.0	36.103.161.255	256	36.103.161.0/24
36.103.162.0	36.103.162.255	256	36.103.162.0/24
36.103.163.0	36.103.163.255	256	36.103.163.0/24
36.103.167.0	36.103.167.255	256	36.103.167.0/24
36.103.174.0	36.103.175.255	512	36.103.174.0/23
36.103.176.0	36.103.191.255	4096	36.103.176.0/20
36.103.178.0	36.103.179.255	512	36.103.178.0/23
36.103.180.0	36.103.180.255	256	36.103.180.0/24
36.103.184.0	36.103.187.255	1024	36.103.184.0/22
36.103.192.0	36.103.192.255	256	36.103.192.0/24
36.103.192.0	36.103.207.255	4096	36.103.192.0/20
36.103.196.0	36.103.196.255	256	36.103.196.0/24
36.103.197.0	36.103.197.255	256	36.103.197.0/24
36.103.198.0	36.103.198.255	256	36.103.198.0/24
36.103.199.0	36.103.199.255	256	36.103.199.0/24
36.103.202.0	36.103.202.255	256	36.103.202.0/24
36.103.204.0	36.103.205.255	512	36.103.204.0/23
36.103.206.0	36.103.207.255	512	36.103.206.0/23
36.103.208.0	36.103.208.255	256	36.103.208.0/24
36.103.208.0	36.103.215.255	2048	36.103.208.0/21
36.103.209.0	36.103.209.255	256	36.103.209.0/24
36.103.211.0	36.103.211.255	256	36.103.211.0/24
36.103.212.0	36.103.212.255	256	36.103.212.0/24
36.103.214.0	36.103.215.255	512	36.103.214.0/23
36.103.216.0	36.103.219.255	1024	36.103.216.0/22
36.103.219.0	36.103.219.255	256	36.103.219.0/24
36.103.220.0	36.103.223.255	1024	36.103.220.0/22
36.103.222.0	36.103.223.255	512	36.103.222.0/23
36.103.224.0	36.103.227.255	1024	36.103.224.0/22
36.103.228.0	36.103.231.255	1024	36.103.228.0/22
36.103.232.0	36.103.235.255	1024	36.103.232.0/22
36.103.233.0	36.103.233.255	256	36.103.233.0/24
36.103.236.0	36.103.239.255	1024	36.103.236.0/22
36.103.239.0	36.103.239.255	256	36.103.239.0/24
36.103.240.0	36.103.243.255	1024	36.103.240.0/22
36.103.244.0	36.103.245.255	512	36.103.244.0/23
36.103.244.0	36.103.247.255	1024	36.103.244.0/22
36.103.247.0	36.103.247.255	256	36.103.247.0/24
36.103.248.0	36.103.251.255	1024	36.103.248.0/22
36.103.252.0	36.103.255.255	1024	36.103.252.0/22
36.104.0.0	36.104.255.255	65536	36.104.0.0/16
36.105.0.0	36.105.255.255	65536	36.105.0.0/16
36.106.0.0	36.106.127.255	32768	36.106.0.0/17
36.106.0.0	36.106.255.255	65536	36.106.0.0/16
36.106.1.0	36.106.1.255	256	36.106.1.0/24
36.106.4.0	36.106.4.255	256	36.106.4.0/24
36.106.5.0	36.106.5.255	256	36.106.5.0/24
36.106.6.0	36.106.6.255	256	36.106.6.0/24
36.106.8.0	36.106.8.255	256	36.106.8.0/24
36.106.9.0	36.106.9.255	256	36.106.9.0/24
36.106.10.0	36.106.10.255	256	36.106.10.0/24
36.106.11.0	36.106.11.255	256	36.106.11.0/24
36.106.12.0	36.106.12.255	256	36.106.12.0/24
36.106.13.0	36.106.13.255	256	36.106.13.0/24
36.106.14.0	36.106.14.255	256	36.106.14.0/24
36.106.15.0	36.106.15.255	256	36.106.15.0/24
36.106.17.0	36.106.17.255	256	36.106.17.0/24
36.106.18.0	36.106.18.255	256	36.106.18.0/24
36.106.19.0	36.106.19.255	256	36.106.19.0/24
36.106.20.0	36.106.20.255	256	36.106.20.0/24
36.106.22.0	36.106.23.255	512	36.106.22.0/23
36.106.24.0	36.106.24.255	256	36.106.24.0/24
36.106.25.0	36.106.25.255	256	36.106.25.0/24
36.106.26.0	36.106.26.255	256	36.106.26.0/24
36.106.27.0	36.106.27.255	256	36.106.27.0/24
36.106.28.0	36.106.31.255	1024	36.106.28.0/22
36.106.34.0	36.106.34.255	256	36.106.34.0/24
36.106.39.0	36.106.39.255	256	36.106.39.0/24
36.106.40.0	36.106.41.255	512	36.106.40.0/23
36.106.42.0	36.106.42.255	256	36.106.42.0/24
36.106.43.0	36.106.43.255	256	36.106.43.0/24
36.106.44.0	36.106.44.255	256	36.106.44.0/24
36.106.45.0	36.106.45.255	256	36.106.45.0/24
36.106.46.0	36.106.46.255	256	36.106.46.0/24
36.106.47.0	36.106.47.255	256	36.106.47.0/24
36.106.48.0	36.106.51.255	1024	36.106.48.0/22
36.106.52.0	36.106.55.255	1024	36.106.52.0/22
36.106.56.0	36.106.59.255	1024	36.106.56.0/22
36.106.60.0	36.106.63.255	1024	36.106.60.0/22
36.106.64.0	36.106.67.255	1024	36.106.64.0/22
36.106.68.0	36.106.71.255	1024	36.106.68.0/22
36.106.72.0	36.106.75.255	1024	36.106.72.0/22
36.106.76.0	36.106.79.255	1024	36.106.76.0/22
36.106.80.0	36.106.83.255	1024	36.106.80.0/22
36.106.84.0	36.106.87.255	1024	36.106.84.0/22
36.106.88.0	36.106.91.255	1024	36.106.88.0/22
36.106.92.0	36.106.95.255	1024	36.106.92.0/22
36.106.96.0	36.106.99.255	1024	36.106.96.0/22
36.106.100.0	36.106.103.255	1024	36.106.100.0/22
36.106.104.0	36.106.105.255	512	36.106.104.0/23
36.106.106.0	36.106.107.255	512	36.106.106.0/23
36.106.108.0	36.106.111.255	1024	36.106.108.0/22
36.106.112.0	36.106.115.255	1024	36.106.112.0/22
36.106.116.0	36.106.119.255	1024	36.106.116.0/22
36.106.120.0	36.106.123.255	1024	36.106.120.0/22
36.106.124.0	36.106.127.255	1024	36.106.124.0/22
36.106.128.0	36.106.131.255	1024	36.106.128.0/22
36.106.128.0	36.106.255.255	32768	36.106.128.0/17
36.106.132.0	36.106.135.255	1024	36.106.132.0/22
36.106.136.0	36.106.136.255	256	36.106.136.0/24
36.106.137.0	36.106.137.255	256	36.106.137.0/24
36.106.138.0	36.106.138.255	256	36.106.138.0/24
36.106.139.0	36.106.139.255	256	36.106.139.0/24
36.106.140.0	36.106.141.255	512	36.106.140.0/23
36.106.142.0	36.106.142.255	256	36.106.142.0/24
36.106.143.0	36.106.143.255	256	36.106.143.0/24
36.106.144.0	36.106.147.255	1024	36.106.144.0/22
36.106.148.0	36.106.149.255	512	36.106.148.0/23
36.106.150.0	36.106.150.255	256	36.106.150.0/24
36.106.151.0	36.106.151.255	256	36.106.151.0/24
36.106.152.0	36.106.155.255	1024	36.106.152.0/22
36.106.156.0	36.106.157.255	512	36.106.156.0/23
36.106.158.0	36.106.159.255	512	36.106.158.0/23
36.106.160.0	36.106.161.255	512	36.106.160.0/23
36.106.162.0	36.106.163.255	512	36.106.162.0/23
36.106.164.0	36.106.165.255	512	36.106.164.0/23
36.106.166.0	36.106.167.255	512	36.106.166.0/23
36.106.168.0	36.106.171.255	1024	36.106.168.0/22
36.106.172.0	36.106.175.255	1024	36.106.172.0/22
36.106.176.0	36.106.177.255	512	36.106.176.0/23
36.106.178.0	36.106.179.255	512	36.106.178.0/23
36.106.180.0	36.106.183.255	1024	36.106.180.0/22
36.106.184.0	36.106.187.255	1024	36.106.184.0/22
36.106.188.0	36.106.191.255	1024	36.106.188.0/22
36.106.192.0	36.106.195.255	1024	36.106.192.0/22
36.106.196.0	36.106.197.255	512	36.106.196.0/23
36.106.198.0	36.106.199.255	512	36.106.198.0/23
36.106.220.0	36.106.223.255	1024	36.106.220.0/22
36.106.224.0	36.106.227.255	1024	36.106.224.0/22
36.106.228.0	36.106.231.255	1024	36.106.228.0/22
36.106.232.0	36.106.235.255	1024	36.106.232.0/22
36.106.236.0	36.106.239.255	1024	36.106.236.0/22
36.106.240.0	36.106.243.255	1024	36.106.240.0/22
36.106.244.0	36.106.245.255	512	36.106.244.0/23
36.106.246.0	36.106.247.255	512	36.106.246.0/23
36.106.248.0	36.106.251.255	1024	36.106.248.0/22
36.106.252.0	36.106.255.255	1024	36.106.252.0/22
36.107.0.0	36.107.255.255	65536	36.107.0.0/16
36.108.0.0	36.108.255.255	65536	36.108.0.0/16
36.109.0.0	36.109.255.255	65536	36.109.0.0/16
36.110.128.0	36.110.159.255	8192	36.110.128.0/19
36.110.160.0	36.110.191.255	8192	36.110.160.0/19
36.110.186.0	36.110.186.255	256	36.110.186.0/24
36.110.192.0	36.110.223.255	8192	36.110.192.0/19
36.110.224.0	36.110.255.255	8192	36.110.224.0/19
36.111.0.0	36.111.7.255	2048	36.111.0.0/21
36.111.0.0	36.111.15.255	4096	36.111.0.0/20
36.111.0.0	36.111.255.255	65536	36.111.0.0/16
36.111.8.0	36.111.15.255	2048	36.111.8.0/21
36.111.16.0	36.111.31.255	4096	36.111.16.0/20
36.111.64.0	36.111.64.255	256	36.111.64.0/24
36.111.72.0	36.111.72.255	256	36.111.72.0/24
36.111.72.0	36.111.79.255	2048	36.111.72.0/21
36.111.73.0	36.111.73.255	256	36.111.73.0/24
36.111.74.0	36.111.75.255	512	36.111.74.0/23
36.111.88.0	36.111.88.255	256	36.111.88.0/24
36.111.128.0	36.111.143.255	4096	36.111.128.0/20
36.111.144.0	36.111.144.255	256	36.111.144.0/24
36.111.144.0	36.111.159.255	4096	36.111.144.0/20
36.111.145.0	36.111.145.255	256	36.111.145.0/24
36.111.146.0	36.111.146.255	256	36.111.146.0/24
36.111.147.0	36.111.147.255	256	36.111.147.0/24
36.111.152.0	36.111.155.255	1024	36.111.152.0/22
36.111.156.0	36.111.156.255	256	36.111.156.0/24
36.111.157.0	36.111.157.255	256	36.111.157.0/24
36.111.158.0	36.111.158.255	256	36.111.158.0/24
36.111.159.0	36.111.159.255	256	36.111.159.0/24
36.111.160.0	36.111.175.255	4096	36.111.160.0/20
36.111.176.0	36.111.191.255	4096	36.111.176.0/20
36.111.192.0	36.111.195.255	1024	36.111.192.0/22
36.111.196.0	36.111.196.255	256	36.111.196.0/24
36.111.197.0	36.111.197.255	256	36.111.197.0/24
36.111.198.0	36.111.198.255	256	36.111.198.0/24
36.111.199.0	36.111.199.255	256	36.111.199.0/24
36.112.128.0	36.112.128.255	256	36.112.128.0/24
36.112.129.0	36.112.129.255	256	36.112.129.0/24
36.112.130.0	36.112.130.255	256	36.112.130.0/24
36.112.131.0	36.112.131.255	256	36.112.131.0/24
36.112.132.0	36.112.132.255	256	36.112.132.0/24
36.112.133.0	36.112.133.255	256	36.112.133.0/24
36.112.134.0	36.112.134.255	256	36.112.134.0/24
36.112.135.0	36.112.135.255	256	36.112.135.0/24
36.112.136.0	36.112.136.255	256	36.112.136.0/24
36.112.137.0	36.112.137.255	256	36.112.137.0/24
36.112.138.0	36.112.138.255	256	36.112.138.0/24
36.112.139.0	36.112.139.255	256	36.112.139.0/24
36.112.142.0	36.112.143.255	512	36.112.142.0/23
36.112.145.0	36.112.145.255	256	36.112.145.0/24
36.112.146.0	36.112.146.255	256	36.112.146.0/24
36.112.147.0	36.112.147.255	256	36.112.147.0/24
36.112.148.0	36.112.148.255	256	36.112.148.0/24
36.112.149.0	36.112.149.255	256	36.112.149.0/24
36.112.150.0	36.112.150.255	256	36.112.150.0/24
36.112.154.0	36.112.154.255	256	36.112.154.0/24
36.112.155.0	36.112.155.255	256	36.112.155.0/24
36.112.156.0	36.112.156.255	256	36.112.156.0/24
36.112.157.0	36.112.157.255	256	36.112.157.0/24
36.112.158.0	36.112.158.255	256	36.112.158.0/24
36.112.159.0	36.112.159.255	256	36.112.159.0/24
36.112.168.0	36.112.168.255	256	36.112.168.0/24
36.112.169.0	36.112.169.255	256	36.112.169.0/24
36.112.212.0	36.112.212.255	256	36.112.212.0/24
36.112.235.0	36.112.235.255	256	36.112.235.0/24
36.113.0.0	36.113.255.255	65536	36.113.0.0/16
36.114.0.0	36.114.255.255	65536	36.114.0.0/16
42.62.0.0	42.62.7.255	2048	42.62.0.0/21
42.62.8.0	42.62.15.255	2048	42.62.8.0/21
42.62.16.0	42.62.23.255	2048	42.62.16.0/21
42.62.24.0	42.62.31.255	2048	42.62.24.0/21
42.62.32.0	42.62.39.255	2048	42.62.32.0/21
42.62.40.0	42.62.47.255	2048	42.62.40.0/21
42.62.48.0	42.62.63.255	4096	42.62.48.0/20
42.62.64.0	42.62.127.255	16384	42.62.64.0/18
42.62.96.0	42.62.127.255	8192	42.62.96.0/19
42.80.0.0	42.81.255.255	131072	42.80.0.0/15
42.80.20.0	42.80.21.255	512	42.80.20.0/23
42.80.30.0	42.80.30.255	256	42.80.30.0/24
42.80.31.0	42.80.31.255	256	42.80.31.0/24
42.80.33.0	42.80.33.255	256	42.80.33.0/24
42.80.41.0	42.80.41.255	256	42.80.41.0/24
42.80.42.0	42.80.42.255	256	42.80.42.0/24
42.80.43.0	42.80.43.255	256	42.80.43.0/24
42.80.200.0	42.80.201.255	512	42.80.200.0/23
42.80.206.0	42.80.207.255	512	42.80.206.0/23
42.80.216.0	42.80.216.255	256	42.80.216.0/24
42.80.218.0	42.80.218.255	256	42.80.218.0/24
42.80.219.0	42.80.219.255	256	42.80.219.0/24
42.80.224.0	42.80.225.255	512	42.80.224.0/23
42.81.0.0	42.81.255.255	65536	42.81.0.0/16
42.81.37.0	42.81.37.255	256	42.81.37.0/24
42.81.38.0	42.81.39.255	512	42.81.38.0/23
42.81.40.0	42.81.41.255	512	42.81.40.0/23
42.81.78.0	42.81.78.255	256	42.81.78.0/24
42.81.79.0	42.81.79.255	256	42.81.79.0/24
42.81.168.0	42.81.168.255	256	42.81.168.0/24
42.81.169.0	42.81.169.255	256	42.81.169.0/24
42.81.170.0	42.81.170.255	256	42.81.170.0/24
42.81.171.0	42.81.171.255	256	42.81.171.0/24
42.81.172.0	42.81.172.255	256	42.81.172.0/24
42.81.173.0	42.81.173.255	256	42.81.173.0/24
42.88.0.0	42.89.255.255	131072	42.88.0.0/15
42.90.0.0	42.91.255.255	131072	42.90.0.0/15
42.92.0.0	42.93.255.255	131072	42.92.0.0/15
42.94.0.0	42.94.255.255	65536	42.94.0.0/16
42.95.0.0	42.95.255.255	65536	42.95.0.0/16
42.97.0.0	42.97.255.255	65536	42.97.0.0/16
42.99.0.0	42.99.63.255	16384	42.99.0.0/18
42.100.0.0	42.101.255.255	131072	42.100.0.0/15
42.102.0.0	42.102.255.255	65536	42.102.0.0/16
42.103.0.0	42.103.255.255	65536	42.103.0.0/16
42.122.0.0	42.122.7.255	2048	42.122.0.0/21
42.122.0.0	42.122.255.255	65536	42.122.0.0/16
42.122.8.0	42.122.11.255	1024	42.122.8.0/22
42.122.12.0	42.122.15.255	1024	42.122.12.0/22
42.122.16.0	42.122.23.255	2048	42.122.16.0/21
42.122.24.0	42.122.31.255	2048	42.122.24.0/21
42.122.32.0	42.122.35.255	1024	42.122.32.0/22
42.122.36.0	42.122.39.255	1024	42.122.36.0/22
42.122.40.0	42.122.43.255	1024	42.122.40.0/22
42.122.44.0	42.122.47.255	1024	42.122.44.0/22
42.122.48.0	42.122.51.255	1024	42.122.48.0/22
42.122.52.0	42.122.55.255	1024	42.122.52.0/22
42.122.64.0	42.122.127.255	16384	42.122.64.0/18
42.122.128.0	42.122.131.255	1024	42.122.128.0/22
42.122.132.0	42.122.135.255	1024	42.122.132.0/22
42.122.136.0	42.122.139.255	1024	42.122.136.0/22
42.122.140.0	42.122.143.255	1024	42.122.140.0/22
42.122.144.0	42.122.151.255	2048	42.122.144.0/21
42.122.152.0	42.122.155.255	1024	42.122.152.0/22
42.122.156.0	42.122.159.255	1024	42.122.156.0/22
42.122.160.0	42.122.167.255	2048	42.122.160.0/21
42.122.168.0	42.122.175.255	2048	42.122.168.0/21
42.122.176.0	42.122.183.255	2048	42.122.176.0/21
42.122.184.0	42.122.187.255	1024	42.122.184.0/22
42.122.188.0	42.122.191.255	1024	42.122.188.0/22
42.122.200.0	42.122.203.255	1024	42.122.200.0/22
42.122.204.0	42.122.207.255	1024	42.122.204.0/22
42.122.208.0	42.122.211.255	1024	42.122.208.0/22
42.122.212.0	42.122.215.255	1024	42.122.212.0/22
42.122.216.0	42.122.219.255	1024	42.122.216.0/22
42.122.220.0	42.122.223.255	1024	42.122.220.0/22
42.122.224.0	42.122.224.255	256	42.122.224.0/24
42.122.224.0	42.122.227.255	1024	42.122.224.0/22
42.122.225.0	42.122.225.255	256	42.122.225.0/24
42.122.226.0	42.122.226.255	256	42.122.226.0/24
42.122.228.0	42.122.231.255	1024	42.122.228.0/22
42.122.232.0	42.122.239.255	2048	42.122.232.0/21
42.122.240.0	42.122.247.255	2048	42.122.240.0/21
42.122.248.0	42.122.249.255	512	42.122.248.0/23
42.122.250.0	42.122.251.255	512	42.122.250.0/23
42.122.252.0	42.122.255.255	1024	42.122.252.0/22
42.123.64.0	42.123.95.255	8192	42.123.64.0/19
42.123.64.0	42.123.127.255	16384	42.123.64.0/18
42.123.96.0	42.123.127.255	8192	42.123.96.0/19
42.123.98.0	42.123.98.255	256	42.123.98.0/24
42.123.101.0	42.123.101.255	256	42.123.101.0/24
42.123.103.0	42.123.103.255	256	42.123.103.0/24
42.123.104.0	42.123.104.255	256	42.123.104.0/24
42.123.106.0	42.123.106.255	256	42.123.106.0/24
42.123.107.0	42.123.107.255	256	42.123.107.0/24
42.123.108.0	42.123.108.255	256	42.123.108.0/24
42.123.114.0	42.123.114.255	256	42.123.114.0/24
42.123.117.0	42.123.117.255	256	42.123.117.0/24
42.123.118.0	42.123.118.255	256	42.123.118.0/24
42.123.120.0	42.123.120.255	256	42.123.120.0/24
42.123.120.0	42.123.127.255	2048	42.123.120.0/21
42.157.128.0	42.157.135.255	2048	42.157.128.0/21
42.157.192.0	42.157.199.255	2048	42.157.192.0/21
42.158.0.0	42.158.255.255	65536	42.158.0.0/16
42.184.0.0	42.184.255.255	65536	42.184.0.0/16
42.185.0.0	42.185.255.255	65536	42.185.0.0/16
42.187.120.0	42.187.123.255	1024	42.187.120.0/22
42.202.0.0	42.203.255.255	131072	42.202.0.0/15
42.202.128.0	42.202.159.255	8192	42.202.128.0/19
42.202.160.0	42.202.175.255	4096	42.202.160.0/20
42.202.208.0	42.202.223.255	4096	42.202.208.0/20
42.240.128.0	42.240.143.255	4096	42.240.128.0/20
42.240.144.0	42.240.159.255	4096	42.240.144.0/20
42.240.160.0	42.240.175.255	4096	42.240.160.0/20
42.240.176.0	42.240.191.255	4096	42.240.176.0/20
42.240.192.0	42.240.207.255	4096	42.240.192.0/20
