#截止2023-12-25，中国铁通IP地址段共计906条。铁通AS区域
#IP起始	结束	数量	网络
123.85.56.0	123.85.63.255	2048	123.85.56.0/21
123.85.64.0	123.85.71.255	2048	123.85.64.0/21
123.85.64.0	123.85.95.255	8192	123.85.64.0/19
123.85.72.0	123.85.79.255	2048	123.85.72.0/21
123.85.80.0	123.85.87.255	2048	123.85.80.0/21
123.85.88.0	123.85.95.255	2048	123.85.88.0/21
123.85.96.0	123.85.103.255	2048	123.85.96.0/21
123.85.96.0	123.85.127.255	8192	123.85.96.0/19
123.85.104.0	123.85.111.255	2048	123.85.104.0/21
123.85.112.0	123.85.119.255	2048	123.85.112.0/21
123.85.120.0	123.85.127.255	2048	123.85.120.0/21
123.85.128.0	123.85.135.255	2048	123.85.128.0/21
123.85.128.0	123.85.159.255	8192	123.85.128.0/19
123.85.136.0	123.85.143.255	2048	123.85.136.0/21
123.85.144.0	123.85.151.255	2048	123.85.144.0/21
123.85.152.0	123.85.159.255	2048	123.85.152.0/21
123.85.160.0	123.85.167.255	2048	123.85.160.0/21
123.85.160.0	123.85.191.255	8192	123.85.160.0/19
123.85.168.0	123.85.175.255	2048	123.85.168.0/21
123.85.176.0	123.85.183.255	2048	123.85.176.0/21
123.85.184.0	123.85.191.255	2048	123.85.184.0/21
123.85.192.0	123.85.223.255	8192	123.85.192.0/19
123.85.224.0	123.85.255.255	8192	123.85.224.0/19
123.86.0.0	123.86.255.255	65536	123.86.0.0/16
123.87.0.0	123.87.255.255	65536	123.87.0.0/16
123.90.0.0	123.90.15.255	4096	123.90.0.0/20
123.90.0.0	123.90.63.255	16384	123.90.0.0/18
123.90.0.0	123.90.127.255	32768	123.90.0.0/17
123.90.0.0	123.90.255.255	65536	123.90.0.0/16
123.90.16.0	123.90.31.255	4096	123.90.16.0/20
123.90.28.0	123.90.31.255	1024	123.90.28.0/22
123.90.32.0	123.90.39.255	2048	123.90.32.0/21
123.90.40.0	123.90.47.255	2048	123.90.40.0/21
123.90.48.0	123.90.55.255	2048	123.90.48.0/21
123.90.56.0	123.90.63.255	2048	123.90.56.0/21
123.90.64.0	123.90.71.255	2048	123.90.64.0/21
123.90.64.0	123.90.127.255	16384	123.90.64.0/18
123.90.80.0	123.90.87.255	2048	123.90.80.0/21
123.90.88.0	123.90.95.255	2048	123.90.88.0/21
123.90.96.0	123.90.103.255	2048	123.90.96.0/21
123.90.104.0	123.90.111.255	2048	123.90.104.0/21
123.90.112.0	123.90.119.255	2048	123.90.112.0/21
123.90.120.0	123.90.123.255	1024	123.90.120.0/22
123.90.124.0	123.90.127.255	1024	123.90.124.0/22
123.91.0.0	123.91.255.255	65536	123.91.0.0/16
123.92.0.0	123.92.255.255	65536	123.92.0.0/16
123.92.192.0	123.92.192.255	256	123.92.192.0/24
123.92.192.0	123.92.199.255	2048	123.92.192.0/21
123.93.0.0	123.93.255.255	65536	123.93.0.0/16
123.94.0.0	123.94.255.255	65536	123.94.0.0/16
123.95.0.0	123.95.255.255	65536	123.95.0.0/16
161.207.18.0	161.207.18.255	256	161.207.18.0/24
161.207.19.0	161.207.19.255	256	161.207.19.0/24
175.48.0.0	175.48.255.255	65536	175.48.0.0/16
175.48.0.0	175.63.255.255	1048576	175.48.0.0/12
175.49.0.0	175.49.255.255	65536	175.49.0.0/16
175.64.0.0	175.95.255.255	2097152	175.64.0.0/11
211.98.0.0	211.98.31.255	8192	211.98.0.0/19
211.98.0.0	211.98.127.255	32768	211.98.0.0/17
211.98.0.0	211.98.255.255	65536	211.98.0.0/16
211.98.24.0	211.98.24.255	256	211.98.24.0/24
211.98.26.0	211.98.26.255	256	211.98.26.0/24
211.98.32.0	211.98.63.255	8192	211.98.32.0/19
211.98.64.0	211.98.95.255	8192	211.98.64.0/19
211.98.82.0	211.98.82.255	256	211.98.82.0/24
211.98.83.0	211.98.83.255	256	211.98.83.0/24
211.98.96.0	211.98.127.255	8192	211.98.96.0/19
211.98.98.0	211.98.99.255	512	211.98.98.0/23
211.98.117.0	211.98.117.255	256	211.98.117.0/24
211.98.118.0	211.98.118.255	256	211.98.118.0/24
211.98.128.0	211.98.159.255	8192	211.98.128.0/19
211.98.128.0	211.98.255.255	32768	211.98.128.0/17
211.98.140.0	211.98.140.255	256	211.98.140.0/24
211.98.160.0	211.98.191.255	8192	211.98.160.0/19
211.98.183.0	211.98.183.255	256	211.98.183.0/24
211.98.192.0	211.98.223.255	8192	211.98.192.0/19
211.98.224.0	211.98.255.255	8192	211.98.224.0/19
211.98.235.0	211.98.235.255	256	211.98.235.0/24
211.155.0.0	211.155.15.255	4096	211.155.0.0/20
221.172.0.0	221.172.255.255	65536	221.172.0.0/16
221.172.0.0	221.175.255.255	262144	221.172.0.0/14
221.173.0.0	221.173.127.255	32768	221.173.0.0/17
221.173.128.0	221.173.255.255	32768	221.173.128.0/17
221.174.0.0	221.174.31.255	8192	221.174.0.0/19
221.174.0.0	221.174.127.255	32768	221.174.0.0/17
221.174.0.0	221.174.255.255	65536	221.174.0.0/16
221.174.16.0	221.174.31.255	4096	221.174.16.0/20
221.174.128.0	221.174.255.255	32768	221.174.128.0/17
222.32.0.0	222.32.255.255	65536	222.32.0.0/16
222.32.0.0	222.63.255.255	2097152	222.32.0.0/11
222.33.0.0	222.33.7.255	2048	222.33.0.0/21
222.33.0.0	222.33.31.255	8192	222.33.0.0/19
222.33.0.0	222.33.63.255	16384	222.33.0.0/18
222.33.0.0	222.33.255.255	65536	222.33.0.0/16
222.33.4.0	222.33.7.255	1024	222.33.4.0/22
222.33.8.0	222.33.15.255	2048	222.33.8.0/21
222.33.16.0	222.33.23.255	2048	222.33.16.0/21
222.33.24.0	222.33.31.255	2048	222.33.24.0/21
222.33.32.0	222.33.39.255	2048	222.33.32.0/21
222.33.32.0	222.33.47.255	4096	222.33.32.0/20
222.33.34.0	222.33.35.255	512	222.33.34.0/23
222.33.38.0	222.33.39.255	512	222.33.38.0/23
222.33.40.0	222.33.41.255	512	222.33.40.0/23
222.33.40.0	222.33.43.255	1024	222.33.40.0/22
222.33.42.0	222.33.43.255	512	222.33.42.0/23
222.33.43.0	222.33.43.255	256	222.33.43.0/24
222.33.44.0	222.33.45.255	512	222.33.44.0/23
222.33.46.0	222.33.46.255	256	222.33.46.0/24
222.33.47.0	222.33.47.255	256	222.33.47.0/24
222.33.48.0	222.33.51.255	1024	222.33.48.0/22
222.33.48.0	222.33.63.255	4096	222.33.48.0/20
222.33.52.0	222.33.55.255	1024	222.33.52.0/22
222.33.56.0	222.33.63.255	2048	222.33.56.0/21
222.33.57.0	222.33.57.255	256	222.33.57.0/24
222.33.58.0	222.33.58.255	256	222.33.58.0/24
222.33.59.0	222.33.59.255	256	222.33.59.0/24
222.33.60.0	222.33.60.255	256	222.33.60.0/24
222.33.60.0	222.33.63.255	1024	222.33.60.0/22
222.33.61.0	222.33.61.255	256	222.33.61.0/24
222.33.62.0	222.33.62.255	256	222.33.62.0/24
222.33.63.0	222.33.63.255	256	222.33.63.0/24
222.34.0.0	222.34.255.255	65536	222.34.0.0/16
222.35.0.0	222.35.7.255	2048	222.35.0.0/21
222.35.0.0	222.35.15.255	4096	222.35.0.0/20
222.35.0.0	222.35.31.255	8192	222.35.0.0/19
222.35.0.0	222.35.63.255	16384	222.35.0.0/18
222.35.0.0	222.35.127.255	32768	222.35.0.0/17
222.35.0.0	222.35.255.255	65536	222.35.0.0/16
222.35.12.0	222.35.12.255	256	222.35.12.0/24
222.35.13.0	222.35.13.255	256	222.35.13.0/24
222.35.16.0	222.35.31.255	4096	222.35.16.0/20
222.35.18.0	222.35.18.255	256	222.35.18.0/24
222.35.20.0	222.35.20.255	256	222.35.20.0/24
222.35.28.0	222.35.28.255	256	222.35.28.0/24
222.35.32.0	222.35.39.255	2048	222.35.32.0/21
222.35.32.0	222.35.63.255	8192	222.35.32.0/19
222.35.37.0	222.35.37.255	256	222.35.37.0/24
222.35.40.0	222.35.47.255	2048	222.35.40.0/21
222.35.46.0	222.35.46.255	256	222.35.46.0/24
222.35.47.0	222.35.47.255	256	222.35.47.0/24
222.35.48.0	222.35.51.255	1024	222.35.48.0/22
222.35.52.0	222.35.55.255	1024	222.35.52.0/22
222.35.56.0	222.35.63.255	2048	222.35.56.0/21
222.35.57.0	222.35.57.255	256	222.35.57.0/24
222.35.58.0	222.35.58.255	256	222.35.58.0/24
222.35.59.0	222.35.59.255	256	222.35.59.0/24
222.35.60.0	222.35.60.255	256	222.35.60.0/24
222.35.64.0	222.35.64.255	256	222.35.64.0/24
222.35.64.0	222.35.71.255	2048	222.35.64.0/21
222.35.64.0	222.35.79.255	4096	222.35.64.0/20
222.35.64.0	222.35.95.255	8192	222.35.64.0/19
222.35.64.0	222.35.127.255	16384	222.35.64.0/18
222.35.68.0	222.35.71.255	1024	222.35.68.0/22
222.35.72.0	222.35.79.255	2048	222.35.72.0/21
222.35.76.0	222.35.79.255	1024	222.35.76.0/22
222.35.80.0	222.35.87.255	2048	222.35.80.0/21
222.35.80.0	222.35.95.255	4096	222.35.80.0/20
222.35.90.0	222.35.91.255	512	222.35.90.0/23
222.35.96.0	222.35.99.255	1024	222.35.96.0/22
222.35.96.0	222.35.103.255	2048	222.35.96.0/21
222.35.96.0	222.35.111.255	4096	222.35.96.0/20
222.35.96.0	222.35.127.255	8192	222.35.96.0/19
222.35.104.0	222.35.107.255	1024	222.35.104.0/22
222.35.104.0	222.35.111.255	2048	222.35.104.0/21
222.35.108.0	222.35.111.255	1024	222.35.108.0/22
222.35.112.0	222.35.115.255	1024	222.35.112.0/22
222.35.112.0	222.35.127.255	4096	222.35.112.0/20
222.35.116.0	222.35.119.255	1024	222.35.116.0/22
222.35.120.0	222.35.127.255	2048	222.35.120.0/21
222.35.124.0	222.35.125.255	512	222.35.124.0/23
222.35.128.0	222.35.159.255	8192	222.35.128.0/19
222.35.128.0	222.35.191.255	16384	222.35.128.0/18
222.35.128.0	222.35.255.255	32768	222.35.128.0/17
222.35.136.0	222.35.139.255	1024	222.35.136.0/22
222.35.136.0	222.35.143.255	2048	222.35.136.0/21
222.35.140.0	222.35.143.255	1024	222.35.140.0/22
222.35.144.0	222.35.147.255	1024	222.35.144.0/22
222.35.148.0	222.35.151.255	1024	222.35.148.0/22
222.35.160.0	222.35.191.255	8192	222.35.160.0/19
222.35.168.0	222.35.175.255	2048	222.35.168.0/21
222.35.192.0	222.35.223.255	8192	222.35.192.0/19
222.35.200.0	222.35.203.255	1024	222.35.200.0/22
222.35.200.0	222.35.207.255	2048	222.35.200.0/21
222.35.204.0	222.35.207.255	1024	222.35.204.0/22
222.35.208.0	222.35.215.255	2048	222.35.208.0/21
222.35.212.0	222.35.215.255	1024	222.35.212.0/22
222.35.228.0	222.35.231.255	1024	222.35.228.0/22
222.35.240.0	222.35.243.255	1024	222.35.240.0/22
222.35.240.0	222.35.247.255	2048	222.35.240.0/21
222.35.244.0	222.35.247.255	1024	222.35.244.0/22
222.35.248.0	222.35.251.255	1024	222.35.248.0/22
222.35.248.0	222.35.255.255	2048	222.35.248.0/21
222.35.252.0	222.35.252.255	256	222.35.252.0/24
222.36.0.0	222.36.255.255	65536	222.36.0.0/16
222.37.0.0	222.37.255.255	65536	222.37.0.0/16
222.38.0.0	222.38.255.255	65536	222.38.0.0/16
222.39.0.0	222.39.255.255	65536	222.39.0.0/16
222.40.0.0	222.40.255.255	65536	222.40.0.0/16
222.41.0.0	222.41.255.255	65536	222.41.0.0/16
222.42.0.0	222.42.3.255	1024	222.42.0.0/22
222.42.0.0	222.42.31.255	8192	222.42.0.0/19
222.42.0.0	222.42.255.255	65536	222.42.0.0/16
222.42.4.0	222.42.7.255	1024	222.42.4.0/22
222.42.8.0	222.42.11.255	1024	222.42.8.0/22
222.42.12.0	222.42.15.255	1024	222.42.12.0/22
222.42.16.0	222.42.19.255	1024	222.42.16.0/22
222.42.20.0	222.42.23.255	1024	222.42.20.0/22
222.42.24.0	222.42.27.255	1024	222.42.24.0/22
222.42.28.0	222.42.31.255	1024	222.42.28.0/22
222.42.32.0	222.42.35.255	1024	222.42.32.0/22
222.42.32.0	222.42.63.255	8192	222.42.32.0/19
222.42.36.0	222.42.39.255	1024	222.42.36.0/22
222.42.40.0	222.42.43.255	1024	222.42.40.0/22
222.42.44.0	222.42.47.255	1024	222.42.44.0/22
222.42.48.0	222.42.51.255	1024	222.42.48.0/22
222.42.52.0	222.42.55.255	1024	222.42.52.0/22
222.42.56.0	222.42.59.255	1024	222.42.56.0/22
222.42.60.0	222.42.63.255	1024	222.42.60.0/22
222.42.64.0	222.42.67.255	1024	222.42.64.0/22
222.42.64.0	222.42.95.255	8192	222.42.64.0/19
222.42.68.0	222.42.71.255	1024	222.42.68.0/22
222.42.72.0	222.42.75.255	1024	222.42.72.0/22
222.42.76.0	222.42.79.255	1024	222.42.76.0/22
222.42.80.0	222.42.83.255	1024	222.42.80.0/22
222.42.84.0	222.42.87.255	1024	222.42.84.0/22
222.42.88.0	222.42.91.255	1024	222.42.88.0/22
222.42.92.0	222.42.95.255	1024	222.42.92.0/22
222.42.96.0	222.42.99.255	1024	222.42.96.0/22
222.42.96.0	222.42.127.255	8192	222.42.96.0/19
222.42.100.0	222.42.103.255	1024	222.42.100.0/22
222.42.104.0	222.42.107.255	1024	222.42.104.0/22
222.42.108.0	222.42.111.255	1024	222.42.108.0/22
222.42.112.0	222.42.115.255	1024	222.42.112.0/22
222.42.116.0	222.42.119.255	1024	222.42.116.0/22
222.42.120.0	222.42.123.255	1024	222.42.120.0/22
222.42.124.0	222.42.127.255	1024	222.42.124.0/22
222.42.128.0	222.42.131.255	1024	222.42.128.0/22
222.42.128.0	222.42.159.255	8192	222.42.128.0/19
222.42.132.0	222.42.135.255	1024	222.42.132.0/22
222.42.136.0	222.42.139.255	1024	222.42.136.0/22
222.42.140.0	222.42.143.255	1024	222.42.140.0/22
222.42.144.0	222.42.147.255	1024	222.42.144.0/22
222.42.148.0	222.42.151.255	1024	222.42.148.0/22
222.42.152.0	222.42.155.255	1024	222.42.152.0/22
222.42.156.0	222.42.159.255	1024	222.42.156.0/22
222.42.160.0	222.42.163.255	1024	222.42.160.0/22
222.42.160.0	222.42.191.255	8192	222.42.160.0/19
222.42.164.0	222.42.167.255	1024	222.42.164.0/22
222.42.168.0	222.42.171.255	1024	222.42.168.0/22
222.42.172.0	222.42.175.255	1024	222.42.172.0/22
222.42.176.0	222.42.179.255	1024	222.42.176.0/22
222.42.180.0	222.42.183.255	1024	222.42.180.0/22
222.42.184.0	222.42.187.255	1024	222.42.184.0/22
222.42.188.0	222.42.191.255	1024	222.42.188.0/22
222.42.192.0	222.42.195.255	1024	222.42.192.0/22
222.42.192.0	222.42.223.255	8192	222.42.192.0/19
222.42.196.0	222.42.199.255	1024	222.42.196.0/22
222.42.200.0	222.42.203.255	1024	222.42.200.0/22
222.42.204.0	222.42.207.255	1024	222.42.204.0/22
222.42.208.0	222.42.211.255	1024	222.42.208.0/22
222.42.212.0	222.42.215.255	1024	222.42.212.0/22
222.42.216.0	222.42.219.255	1024	222.42.216.0/22
222.42.220.0	222.42.223.255	1024	222.42.220.0/22
222.42.224.0	222.42.227.255	1024	222.42.224.0/22
222.42.224.0	222.42.255.255	8192	222.42.224.0/19
222.42.228.0	222.42.231.255	1024	222.42.228.0/22
222.42.232.0	222.42.235.255	1024	222.42.232.0/22
222.42.236.0	222.42.239.255	1024	222.42.236.0/22
222.42.238.0	222.42.238.255	256	222.42.238.0/24
222.42.239.0	222.42.239.255	256	222.42.239.0/24
222.42.240.0	222.42.243.255	1024	222.42.240.0/22
222.42.244.0	222.42.247.255	1024	222.42.244.0/22
222.42.248.0	222.42.251.255	1024	222.42.248.0/22
222.42.252.0	222.42.255.255	1024	222.42.252.0/22
222.43.0.0	222.43.255.255	65536	222.43.0.0/16
222.44.0.0	222.44.255.255	65536	222.44.0.0/16
222.44.4.0	222.44.5.255	512	222.44.4.0/23
222.44.8.0	222.44.8.255	256	222.44.8.0/24
222.44.10.0	222.44.11.255	512	222.44.10.0/23
222.44.12.0	222.44.15.255	1024	222.44.12.0/22
222.44.16.0	222.44.31.255	4096	222.44.16.0/20
222.44.32.0	222.44.63.255	8192	222.44.32.0/19
222.44.64.0	222.44.95.255	8192	222.44.64.0/19
222.44.96.0	222.44.96.255	256	222.44.96.0/24
222.44.96.0	222.44.127.255	8192	222.44.96.0/19
222.44.128.0	222.44.159.255	8192	222.44.128.0/19
222.44.160.0	222.44.191.255	8192	222.44.160.0/19
222.44.192.0	222.44.223.255	8192	222.44.192.0/19
222.44.224.0	222.44.255.255	8192	222.44.224.0/19
222.45.0.0	222.45.127.255	32768	222.45.0.0/17
222.45.0.0	222.45.255.255	65536	222.45.0.0/16
222.46.0.0	222.46.255.255	65536	222.46.0.0/16
222.47.0.0	222.47.255.255	65536	222.47.0.0/16
222.48.0.0	222.48.255.255	65536	222.48.0.0/16
222.49.0.0	222.49.127.255	32768	222.49.0.0/17
222.49.0.0	222.49.255.255	65536	222.49.0.0/16
222.49.128.0	222.49.255.255	32768	222.49.128.0/17
222.50.0.0	222.50.255.255	65536	222.50.0.0/16
222.51.0.0	222.51.255.255	65536	222.51.0.0/16
222.52.0.0	222.52.255.255	65536	222.52.0.0/16
222.53.0.0	222.53.255.255	65536	222.53.0.0/16
222.54.0.0	222.54.255.255	65536	222.54.0.0/16
222.55.0.0	222.55.255.255	65536	222.55.0.0/16
222.56.0.0	222.56.127.255	32768	222.56.0.0/17
222.56.0.0	222.56.255.255	65536	222.56.0.0/16
222.56.128.0	222.56.255.255	32768	222.56.128.0/17
222.57.0.0	222.57.255.255	65536	222.57.0.0/16
222.58.0.0	222.58.127.255	32768	222.58.0.0/17
222.58.0.0	222.58.255.255	65536	222.58.0.0/16
222.58.128.0	222.58.255.255	32768	222.58.128.0/17
222.59.0.0	222.59.127.255	32768	222.59.0.0/17
222.59.0.0	222.59.255.255	65536	222.59.0.0/16
222.59.128.0	222.59.255.255	32768	222.59.128.0/17
222.60.0.0	222.60.127.255	32768	222.60.0.0/17
222.60.0.0	222.60.255.255	65536	222.60.0.0/16
222.60.128.0	222.60.255.255	32768	222.60.128.0/17
222.61.0.0	222.61.127.255	32768	222.61.0.0/17
222.61.0.0	222.61.255.255	65536	222.61.0.0/16
222.61.128.0	222.61.255.255	32768	222.61.128.0/17
222.62.0.0	222.62.255.255	65536	222.62.0.0/16
222.62.128.0	222.62.255.255	32768	222.62.128.0/17
222.62.192.0	222.62.192.255	256	222.62.192.0/24
222.62.192.0	222.62.193.255	512	222.62.192.0/23
222.62.193.0	222.62.193.255	256	222.62.193.0/24
222.62.194.0	222.62.194.255	256	222.62.194.0/24
222.63.0.0	222.63.255.255	65536	222.63.0.0/16
